Step Index,Previous Position,New Position,Distance,Unit Vector,Norm_Distance,UV
8_40,"(-5.572077475232325, 4.353384041180901, 7.071067811865477)","(-5.744903083407741, 4.329094985949981, 6.946583704589974)",0.49355341556675475,"(-0.2845422450458982, -0.9098438347862029, 0.30202633508649007)",0.03489949670250344,0.6
8_41,"(-5.744903083407741, 4.329094985949981, 6.946583704589974)","(-5.720614028176819, 4.1562693777745645, 7.071067811865477)",0.4121630891552989,"(-0.5735764363510494, -0.8191520442889895, -7.197139096322464e-15)",0.029144331529650742,0.7
8_42,"(-5.720614028176819, 4.1562693777745645, 7.071067811865477)","(-5.892486679858388, 4.1259635920371975, 6.946583704589974)",0.24681429879657585,"(0.14137070937828178, -0.8017531339242709, 0.5806946140377846)",0.017452406437286152,0.8
8_43,"(-5.892486679858388, 4.1259635920371975, 6.946583704589974)","(-5.862180894121019, 3.9540909403556292, 7.071067811865477)",0.21437103817773878,"(-0.5692331359747705, -0.8210093307328422, -0.04378716430575159)",0.015158321478547936,0.9
8_44,"(-5.862180894121019, 3.9540909403556292, 7.071067811865477)","(-5.862180894121019, 3.9540909403556292, 7.071067811865477)",4.0567980767069685e-14,"(-0.5692331359747705, -0.8210093307328422, -0.04378716430575159)",2.868589429944041e-15,1.0
9_39,"(4.740950476675073, 7.890266605170216, 3.907311284892731)","(4.913325860209398, 7.862965026523402, 3.7460659341591134)",1.460138754350304,"(0.8090169943749463, -0.5877852522924747, 4.8063775471206146e-15)",0.10324740146743784,0.1
9_40,"(4.913325860209398, 7.862965026523402, 3.7460659341591134)","(5.0134287511098705, 7.720003282414773, 3.907311284892731)",1.2935415241412904,"(0.8291504926254578, -0.5408811148395432, -0.14126953029189734)",0.09146719834666886,0.2
9_41,"(5.0134287511098705, 7.720003282414773, 3.907311284892731)","(5.1847463168640155, 7.686702521022759, 3.7460659341591134)",1.1414021863061292,"(0.7986355100472908, -0.6018150231520509, 6.406225723930992e-15)",0.0807093225998215,0.3
9_42,"(5.1847463168640155, 7.686702521022759, 3.7460659341591134)","(5.2797989348709375, 7.54033432483505, 3.907311284892731)",0.9705010728354175,"(0.8246449670052872, -0.5307784656187051, -0.1955374614448644)",0.06862478897507432,0.4
9_43,"(5.2797989348709375, 7.54033432483505, 3.907311284892731)","(5.449849958780478, 7.501074952546003, 3.7460659341591134)",0.8246263889391744,"(0.7880107536067198, -0.6156614753256611, 9.606899263565835e-15)",0.05830989115642656,0.5
9_44,"(5.449849958780478, 7.501074952546003, 3.7460659341591134)","(5.539736496920543, 7.351478631379979, 3.907311284892731)",0.6471649975013054,"(0.8169840259209153, -0.48394055326622315, -0.31358992696583043)",0.04576147582797481,0.6
9_45,"(5.539736496920543, 7.351478631379979, 3.907311284892731)","(5.7083137980071985, 7.306308479691589, 3.7460659341591134)",0.5141917417238382,"(0.7771459614569673, -0.6293203910498418, 1.921087217255219e-14)",0.03635884674030478,0.7
9_46,"(5.7083137980071985, 7.306308479691589, 3.7460659341591134)","(5.792924743379642, 7.153666293621044, 3.907311284892731)",0.3236317894397247,"(0.7024026642923922, -0.21474604521248958, -0.6786122849319369)",0.022884223292036623,0.8
9_47,"(5.792924743379642, 7.153666293621044, 3.907311284892731)","(5.959822936169382, 7.102640395405216, 3.7460659341591134)",0.23761042102234278,"(-0.7664063157207794, 0.4180398085749706, 0.48771311000413237)",0.016801593998548917,0.9
9_48,"(5.959822936169382, 7.102640395405216, 3.7460659341591134)","(5.959822936169382, 7.102640395405216, 3.7460659341591134)",1.2747758488280535e-14,"(-0.7664063157207794, 0.4180398085749706, 0.48771311000413237)",9.014026471991538e-16,1.0
